"metric","value"
"scenario_count",6
"detected_count",6
"detected_rate",1
"visualized_rate",1
"safe_execution_rate",1
"median_diag_runtime_sec",0.3065
"median_auto_runtime_sec",0.313000000000001
"auto_restored_count",4
"auto_restored_rate_among_broken",1
"auto_mode_scenario_count",4
"auto_mode_detected_rate",1
"auto_mode_restore_action_rate",1
"guided_mode_scenario_count",2
"guided_mode_detected_rate",1
"guided_mode_manual_proposal_rate",1
"guided_mode_actionable_proposal_rate",1
"guided_mode_guardrail_rate",1
