"metric","value"
"scenario_count",5
"ground_truth_breakage_count",3
"ground_truth_non_breakage_count",2
"detected_count",3
"true_positive_count",3
"true_negative_count",2
"false_positive_count",0
"false_negative_count",0
"false_positive_rate",0
"false_negative_rate",0
"auto_restore_expected_count",2
"auto_restore_success_count",2
"auto_restore_success_rate_expected",1
"known_limit_scenario_count",1
"known_limit_exposed_count",1
"known_limit_exposed_rate",1
"median_diag_runtime_sec",0.327
"median_auto_runtime_sec",0.311
